Type	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
0:homdel:0-100kb	0.001795054	0.002237674	0.064044243	0.00096628	0.02582249	0.0034925	0	0.00021626	0.008181842	0.00779524	0.00161374	0.02309338	0.00224368	0.0121477	0.0067438	0.0036673	0.00136668	0.00110894	0.00591472	4.08E-05	5.50E-07	0.266866171	0.24410253	0.000371716	0.006074244
0:homdel:100kb-1Mb	0.003807104	0.007195788	0.00640384	0.00021955	0.02499357	0.007550309	0	0.000720975	0.020999189	0.03122532	0.0059027	0.052724771	0.03467842	0.03389276	0.02652628	0.00109281	0.00143123	0.00303045	0.00677398	0.00017845	0.00022928	0.02038467	0.02413956	0.000760546	0.009107288
0:homdel:>1Mb	0.002436746	0.003837108	0.013033431	6.12E-05	0.0038887	0.00133617	0	0.00026934	0.009009219	0.00455881	0.00313081	0.0068661	0.01814564	4.40E-07	0.00524487	0.04053983	0.0014533	0.0007584	0.0041105	0.00011722	0.00135207	0.001282235	0.00355824	0.000575594	0.004061581
1:LOH:0-100kb	0.002840449	0.002826536	0.062213582	0.056150771	0.015829115	0.00595583	0.00011082	0.000950405	0.018583652	0.00879753	0.0027543	0.02182354	0.00284705	0.00129939	0.00763888	0.00142666	0.00211427	0.0015556	0.01041569	0.00050182	0.0002482	0.02147356	0.13028998	0.000635022	0.142313643
1:LOH:100kb-1Mb	0.012263057	0.006323915	0.012614821	0.247798925	0.02654494	0.010520759	0.0050408	0.00728363	0.130807872	0.03974523	0.0062317	0.065977011	0.02886982	0.01293743	0.00252662	0.00580905	0.00507205	0.00141876	0.064293751	0.00081924	0.0123588	0.034899515	0.0768859	0.004601138	0.310351003
1:LOH:1Mb-10Mb	0.019163418	0.001023764	0.019283461	0.083369342	0.00135803	0.00099151	7.44E-05	0.002204905	0.159949199	0.01091525	0.01775071	0.00423455	0.12860718	2.02E-05	1.00E-07	0.00343106	0.0186884	0.00028103	0.03777062	0.00624116	0.05642821	0.024426895	0.03485188	0.004307654	0.026957401
1:LOH:10Mb-40Mb	0.047297757	0.000483364	0.0087199	0.00010096	0.000573685	0.00040994	2.00E-08	0.00366415	0.076229355	0.00290428	0.00184154	4.03E-05	0.1541978	1.40E-07	4.40E-07	0.00204512	0.00550295	8.00E-08	0.02105378	0.00283775	0.04607252	0.003555775	0.02090447	0.002622552	0.002556706
1:LOH:>40Mb	0.073645999	0.000124322	0.00409212	0.00230378	8.10E-05	0.00017917	0	0.006089315	0.027000693	0.00148398	5.75E-05	4.64E-06	0.21568204	1.87E-06	0.0003073	0.00064424	1.34E-06	1.65E-06	0.00174097	1.20E-05	0.01887089	0.002450425	0.00226301	0.00227007	0.000974623
2:LOH:0-100kb	0.001187984	0.002488917	0.00138849	0.0141463	0.0133515	0.019251449	0.00277607	0.01111584	0.004119057	0.00635726	0.00148901	0.00590696	5.69E-05	0.00762253	0.00228469	0.00067984	0.00055893	0.00273632	0.00566334	0.00060974	0.00070358	0.00299482	4.00E-08	0.003253376	0.010419214
2:LOH:100kb-1Mb	0.004303102	0.019464869	0.033835141	0.040089381	0.255496412	0.177292158	0.0045434	0.0222829	0.013774233	0.087823539	0.01694496	0.080936481	0.02909678	0.00707926	0.0215107	0.01758306	0.00062269	0.0065518	0.054896441	0.00134094	0.06234918	0.073916265	0.00033402	0.270457816	9.09E-05
2:LOH:1Mb-10Mb	0.004438013	0.033551543	0.018990581	0.00618009	0.264575824	0.116382852	0.00457336	0.00829832	0.011594393	0.131910499	0.0439202	0.132671041	0.03957572	0.02585003	0.0088679	0.01162738	0.084442329	0.00018517	0.117067141	0.01443458	0.03913487	0.079960515	0.00178993	0.2022044	0.000384815
2:LOH:10Mb-40Mb	0.00431859	0.052291175	0.00267497	0.00024516	0.067065891	0.00632481	4.11E-05	0.00115938	0.004945152	0.087069829	0.02467614	0.176727892	0.01185966	0.09336807	0.00201416	0.00291477	0.088483279	0.00015695	0.04188772	0.0096627	0.00129894	0.01765472	0.00517329	0.011946964	0.000350439
2:LOH:>40Mb	0.012215654	0.06737476	8.24E-05	0.00241502	0.01961649	0.00026093	0	0.00013197	0.002407305	0.01593395	0.01121149	0.136224511	8.50E-05	0.55221235	3.30E-07	0.00170498	0.0075038	7.26E-05	0.03389879	0.00049936	0.00195567	0.00590559	0	0.0050787	0.000750494
3-4:LOH:0-100kb	0.001379947	0.002717402	0.0027191	0.01402566	0.005480255	0.00505183	0.00420447	0.00956472	0.001833529	0.00743812	0.00158209	0.00930253	0.00057156	0.00141835	0.00197133	0.00093853	0.00267395	0.00226406	0.01388264	0.002561	0.00053506	0.001204125	0.00072698	0.000685112	0.000296679
3-4:LOH:100kb-1Mb	0.001667853	0.013819445	0.023811221	0.01144021	0.02685577	0.013510279	0.0023279	0.004662895	0.002848605	0.068455299	0.0482419	0.03071852	0.00817896	0.00688559	0.01163685	0.02159759	0.02375527	0.01402709	0.01258572	0.02182453	2.09E-05	0.00824588	0.00079858	0.011435602	8.69E-07
3-4:LOH:1Mb-10Mb	0.001514284	0.012471389	0.034367671	0.00010785	0.029519046	0.00409704	0.00021573	0.00349215	0.00344351	0.096466639	0.156264722	0.04005227	0.01705423	0.00687404	0.04837325	0.043701	0.094627309	0.05963823	0.00110793	0.02055562	0.00277049	0.010814625	0.00034028	0.005760546	2.04E-05
3-4:LOH:10Mb-40Mb	0.000102203	0.010631239	0.021891551	1.00E-07	0.00455209	5.61E-05	7.90E-07	0.002194095	0.001390007	0.04754809	0.055274161	0.02606018	0.00759605	0.00128688	0.16721937	0.0329184	0.051836149	0.07185141	0.00278047	0.0022434	0.00027444	0.00356193	0.0007486	0.00075315	1.85E-05
3-4:LOH:>40Mb	0.007367609	0.017426922	0.025294791	1.30E-07	0.00073589	0.00032855	6.74E-06	0.003399115	0.001198601	0.01319828	0.03509218	0.01659015	0.00381337	7.35E-05	0.37328855	0.19071235	0.00224311	0.05059881	0.00421117	0.00094554	0.00172068	0.005440365	0.00044828	0.000533794	8.21E-05
5-8:LOH:0-100kb	0.000351298	0.001689411	5.30E-07	0.025527171	0.00066453	0.00048949	0.00552275	0.010770475	0.000375937	0.00260391	0.00501223	0.00578286	0.00294361	0.00316274	0.00348453	0.0034784	0.00128554	0.00482129	2.59E-05	0.00091844	2.50E-07	0.000741885	1.40E-07	0.000227864	0.0008887
